employee_id,name,sector,job_level,experience_years,basic_salary_idr,allowance_idr,overtime_idr,total_compensation_idr,location,source,created_at
EMP0039,Rizky Wibowo,Jasa,Supervisor,10,5753544,384370,183126,6321040,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0040,Siti Rahmawati,Perdagangan,Staff,17,4122004,805524,285409,5212937,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0041,Putri Nugraha,Manufaktur,Admin,14,3630888,274615,194221,4099724,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0042,Yuli Susanto,Perdagangan,Admin,11,3766182,713338,167749,4647269,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0043,Wahyu Saputra,Manufaktur,Admin,8,2694045,445659,40312,3180016,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0044,Nina Ananda,Konstruksi,Staff,9,4437190,437293,151019,5025502,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0045,Putri Kurniawan,Manufaktur,Staff,11,3064278,205997,149688,3419963,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0046,Budi Rahmawati,Jasa,Admin,16,4511895,420935,209798,5142628,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0047,Wahyu Utami,Manufaktur,Staff,5,3224955,418884,13370,3657209,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0048,Eka Wibowo,Perdagangan,Admin,6,2591423,260413,27866,2879702,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0049,Joko Wijaya,Perdagangan,Admin,13,4058939,357982,221294,4638215,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0050,Rina Putra,Manufaktur,Operator,12,3300756,541436,157284,3999476,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0051,Ahmad Pratama,Konstruksi,Staff,7,2779820,284459,206713,3270992,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0052,Bagus Nugraha,Jasa,Staff,9,3603444,629135,278193,4510772,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0053,Budi Mahendra,Konstruksi,Operator,8,3854126,735178,55879,4645183,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0054,Joko Nugraha,Pertanian,Staff,17,3441549,206404,204048,3852001,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0055,Desi Nugraha,Perdagangan,Staff,1,3118561,221311,198407,3538279,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0056,Budi Hidayat,Konstruksi,Supervisor,4,5103279,409508,66814,5579601,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0057,Eka Putra,Manufaktur,Admin,4,3156995,472853,132105,3761953,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0058,Ahmad Ananda,Manufaktur,Manager,5,6173022,640911,433198,7247131,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0059,Putri Sari,Manufaktur,Supervisor,18,6955594,805946,209749,7971289,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0060,Nina Putra,Manufaktur,Staff,7,3268206,390230,78797,3737233,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0061,Wahyu Utami,Perdagangan,Supervisor,15,5426335,460326,390511,6277172,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0062,Nina Kurniawan,Manufaktur,Admin,12,4472644,481183,194489,5148316,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0063,Bayu Nugraha,Pertanian,Staff,0,2435353,164470,183105,2782928,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0064,Bagus Ananda,Perdagangan,Supervisor,19,6441015,928512,172570,7542097,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0065,Lestari Ananda,Manufaktur,Operator,16,4041757,578015,172489,4792261,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0066,Putri Saputra,Perdagangan,Operator,6,2743757,505081,173097,3421935,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0067,Yuli Rahmawati,Manufaktur,Manager,12,7371698,643352,438731,8453781,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0068,Desi Kurniawan,Pertanian,Operator,3,2279734,125453,103935,2509122,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0069,Bagus Nugraha,Manufaktur,Staff,3,3241143,328367,212944,3782454,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0070,Siti Wibowo,Konstruksi,Staff,5,3888023,258921,263282,4410226,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0071,Rudi Sari,Jasa,Operator,18,4313769,731590,51736,5097095,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0072,Dewi Pratama,Manufaktur,Operator,11,3055222,257823,176531,3489576,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0073,Bayu Pratama,Manufaktur,Operator,6,3356840,517263,145747,4019850,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0074,Andi Nugraha,Pertanian,Admin,9,3417056,299914,94501,3811471,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0075,Budi Ananda,Jasa,Supervisor,18,5259857,627505,398605,6285967,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0076,Putri Sari,Jasa,Supervisor,6,5915809,431870,277441,6625120,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0077,Lestari Saputra,Jasa,Operator,2,3844379,202662,268221,4315262,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0078,Eka Saputra,Manufaktur,Supervisor,12,5401864,1025369,244221,6671454,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0079,Joko Kurniawan,Perdagangan,Operator,12,3563399,556195,43484,4163078,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0080,Budi Ananda,Manufaktur,Operator,17,4075042,556011,197791,4828844,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0081,Yuli Susanto,Pertanian,Operator,19,4189032,796565,310178,5295775,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0082,Rudi Mahendra,Jasa,Staff,7,3548241,417365,32143,3997749,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0083,Yuli Lestari,Manufaktur,Staff,8,3552967,492765,113411,4159143,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0084,Lestari Pratama,Manufaktur,Staff,6,3782636,220203,101434,4104273,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0085,Agus Mahendra,Manufaktur,Supervisor,0,3338091,435985,245644,4019720,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0086,Fajar Putra,Manufaktur,Staff,2,2381890,242838,66112,2690840,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0087,Eka Santoso,Jasa,Staff,12,4118065,344643,149054,4611762,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0088,Budi Rahmawati,Jasa,Supervisor,16,7692114,547128,108543,8347785,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0089,Agus Rahmawati,Pertanian,Staff,0,2279734,426827,66092,2772653,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0090,Eka Sari,Perdagangan,Supervisor,5,4183738,573541,211618,4968897,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0091,Putri Putra,Manufaktur,Staff,20,4494059,282237,358400,5134696,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0092,Budi Ananda,Jasa,Staff,5,3100998,388645,147703,3637346,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0093,Eka Utami,Jasa,Operator,11,3814365,310816,274040,4399221,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0094,Agus Santoso,Perdagangan,Staff,12,3695106,298457,56368,4049931,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0095,Andi Wijaya,Jasa,Staff,12,4274101,575833,22467,4872401,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0096,Eka Kurniawan,Perdagangan,Supervisor,14,4948819,823132,179459,5951410,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0097,Joko Pratama,Perdagangan,Operator,20,2734792,301140,122439,3158371,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0098,Rina Saputra,Perdagangan,Staff,15,4490601,329098,65357,4885056,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0099,Rizky Sari,Manufaktur,Supervisor,20,5263010,771556,172093,6206659,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0100,Bayu Kurniawan,Manufaktur,Staff,10,3368360,181244,42078,3591682,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0101,Rizky Susanto,Manufaktur,Staff,4,3512422,189896,62372,3764690,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0102,Lestari Kurniawan,Jasa,Supervisor,3,5298975,448617,284827,6032419,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0103,Rina Nugraha,Manufaktur,Supervisor,2,3797763,561734,72364,4431861,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0104,Desi Wijaya,Perdagangan,Supervisor,18,6114482,396928,118949,6630359,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0105,Joko Kurniawan,Konstruksi,Operator,19,5163810,901255,164078,6229143,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0106,Rizky Pratama,Manufaktur,Admin,17,4388988,659282,71973,5120243,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0107,Bayu Sari,Perdagangan,Supervisor,14,5670838,294601,38792,6004231,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0108,Siti Santoso,Jasa,Staff,8,3738092,303469,7934,4049495,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0109,Agus Kurniawan,Manufaktur,Operator,16,4035995,456929,288225,4781149,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0110,Andi Wijaya,Manufaktur,Staff,13,3394159,585887,92814,4072860,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0111,Yuli Ananda,Manufaktur,Staff,14,3741227,518325,80230,4339782,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0112,Eka Utami,Manufaktur,Staff,0,2315407,332544,75836,2723787,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0113,Bayu Putra,Konstruksi,Staff,20,4006266,377269,303980,4687515,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0114,Eka Nugraha,Pertanian,Admin,2,2902362,477557,32532,3412451,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0115,Fajar Pratama,Jasa,Operator,15,4160637,766317,266232,5193186,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0116,Nina Utami,Pertanian,Manager,10,7151883,813755,12855,7978493,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0117,Dewi Mahendra,Pertanian,Staff,11,3356355,486744,69245,3912344,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0118,Joko Putra,Manufaktur,Staff,9,2878886,204122,192293,3275301,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0119,Putri Santoso,Pertanian,Staff,15,3560444,269710,77562,3907716,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0120,Rudi Wibowo,Perdagangan,Staff,7,3400832,179423,248750,3829005,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0121,Yuli Ananda,Pertanian,Supervisor,5,3856444,351353,170972,4378769,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0122,Siti Pratama,Pertanian,Operator,11,2597077,383622,172392,3153091,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0123,Andi Saputra,Manufaktur,Manager,20,9573160,1340984,509320,11423464,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0124,Rina Susanto,Manufaktur,Staff,7,3841728,293145,281033,4415906,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0125,Rizky Utami,Manufaktur,Admin,3,2279734,291435,8565,2579734,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0126,Rizky Putra,Perdagangan,Operator,7,2512161,188267,148324,2848752,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0127,Putri Wijaya,Pertanian,Supervisor,17,5173142,449040,161110,5783292,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0128,Rizky Santoso,Pertanian,Supervisor,4,3328453,310558,94707,3733718,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0129,Budi Hidayat,Manufaktur,Staff,8,3116060,420545,118672,3655277,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0130,Lestari Mahendra,Perdagangan,Staff,3,3279877,490507,245814,4016198,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0131,Siti Santoso,Perdagangan,Staff,16,3640705,199064,76386,3916155,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0132,Bagus Hidayat,Manufaktur,Operator,8,3478149,484372,14309,3976830,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0133,Nina Nugraha,Manufaktur,Staff,0,3642334,364730,224633,4231697,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0134,Siti Lestari,Manufaktur,Staff,20,4590371,302917,27592,4920880,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0135,Siti Putra,Konstruksi,Staff,19,5211704,798747,181295,6191746,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0136,Siti Wibowo,Manufaktur,Staff,12,4729799,411304,309935,5451038,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0137,Agus Lestari,Perdagangan,Operator,15,3883506,352706,183373,4419585,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0138,Joko Pratama,Jasa,Operator,12,4356136,453674,31915,4841725,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0139,Siti Ananda,Perdagangan,Staff,13,3760180,292428,163011,4215619,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0140,Ahmad Sari,Konstruksi,Staff,2,3672480,664505,215126,4552111,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0141,Desi Sari,Konstruksi,Staff,5,3989464,613745,271026,4874235,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0142,Rudi Utami,Manufaktur,Staff,17,4931416,431253,193084,5555753,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0143,Rina Wijaya,Perdagangan,Staff,18,4453583,343310,202351,4999244,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0144,Rina Utami,Manufaktur,Staff,4,3236555,606281,8789,3851625,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0145,Siti Putra,Manufaktur,Staff,14,3556488,670964,276284,4503736,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0146,Siti Pratama,Manufaktur,Supervisor,1,4422396,847507,167773,5437676,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0147,Joko Santoso,Jasa,Supervisor,9,5451830,533543,361528,6346901,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0148,Andi Saputra,Perdagangan,Staff,17,4161813,231193,198525,4591531,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0149,Dewi Wijaya,Manufaktur,Staff,12,3697488,227554,205961,4131003,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0150,Rina Kurniawan,Manufaktur,Supervisor,4,4146403,418708,240414,4805525,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0151,Wahyu Hidayat,Konstruksi,Supervisor,0,4271506,559241,270206,5100953,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0152,Dewi Ananda,Manufaktur,Operator,0,2399375,234689,120139,2754203,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0153,Budi Hidayat,Manufaktur,Manager,17,9010316,765371,17588,9793275,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0154,Bayu Wijaya,Perdagangan,Staff,14,4296760,775628,7311,5079699,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0155,Putri Kurniawan,Konstruksi,Staff,16,4961763,947002,317069,6225834,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0156,Lestari Wijaya,Manufaktur,Supervisor,10,5713812,1140991,160312,7015115,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0157,Eka Putra,Jasa,Staff,20,4791197,584436,240520,5616153,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0158,Andi Rahmawati,Jasa,Supervisor,16,7492417,1356513,589853,9438783,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0159,Ahmad Rahmawati,Manufaktur,Admin,12,3524502,398986,207968,4131456,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0160,Rina Rahmawati,Jasa,Supervisor,0,4908445,421225,43380,5373050,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0161,Lestari Sari,Perdagangan,Staff,1,2293968,216656,42871,2553495,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0162,Wahyu Utami,Jasa,Supervisor,8,4710442,265263,6735,4982440,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0163,Lestari Pratama,Jasa,Staff,2,3255700,350472,177018,3783190,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0164,Bagus Sari,Perdagangan,Supervisor,0,3711029,307043,282026,4300098,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0165,Yuli Santoso,Manufaktur,Admin,20,4956414,950193,185330,6091937,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0166,Joko Lestari,Pertanian,Staff,15,3461360,491553,46253,3999166,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0167,Budi Nugraha,Manufaktur,Admin,5,3164951,446766,129810,3741527,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0168,Fajar Lestari,Manufaktur,Admin,16,4319188,365405,60996,4745589,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0169,Joko Hidayat,Manufaktur,Staff,4,2921719,487744,81837,3491300,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0170,Bagus Hidayat,Perdagangan,Staff,4,2799992,164293,217078,3181363,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0171,Ahmad Rahmawati,Jasa,Staff,5,4185338,646229,51528,4883095,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0172,Yuli Mahendra,Manufaktur,Staff,2,2768540,477226,49709,3295475,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0173,Budi Ananda,Perdagangan,Staff,20,4519136,627893,209719,5356748,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0174,Agus Lestari,Manufaktur,Manager,4,5166948,329253,362703,5858904,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0175,Joko Wijaya,Jasa,Staff,20,4732656,867553,361821,5962030,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0176,Fajar Wibowo,Manufaktur,Staff,4,3010937,539918,194992,3745847,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0177,Bayu Ananda,Jasa,Operator,9,3908493,246422,127714,4282629,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
EMP0178,Ahmad Utami,Perdagangan,Staff,9,4271217,452335,88757,4812309,Cirebon,synthetic_based_on_UMK_BPS,2025-11-04 06:15:41
